transgenic_line,neurotransmitter,reporter_status,dendrite_type,layer,threshold_v,peak_v,trough_v,upstroke,upstroke_v,downstroke,downstroke_v,fast_trough_v,width,upstroke_downstroke_ratio,file_name
Glutamatergic,Glutamatergic,positive,spiny,L5,-47.250003814697266,37.46875,-72.5,466.24897661723156,-5.9375,-129.4674205258334,11.21875,-51.9375,0.0006249999999998757,3.601284205119373,314804042_42
Sst+,GABAergic,positive,aspiny,L6b,-52.8125,27.875,-82.09375,445.1600907046033,-3.59375,-308.15286634087505,-4.031250476837158,-66.90625,0.000360000000000138,1.44460798301377,555241040_93
Htr3a+|Vip-,GABAergic,positive,aspiny,L5,-44.468753814697266,30.500001907348633,-67.4375,351.5105508980642,-8.781250953674316,-121.99566037024391,-11.500000953674316,-53.000003814697266,0.0006399999999999739,2.8813365150142793,561533860_48
Glutamatergic,Glutamatergic,negative,spiny,L6b,-45.437503814697266,39.750003814697266,-77.93750762939453,355.07829665202155,2.4375,-97.89167461551106,24.437501907348633,-46.59375,0.0007350000000001522,3.6272573540769617,488688374_49
Pvalb+,GABAergic,positive,aspiny,L2/L3,-46.4375,32.0625,-77.59375,443.10100211748477,-5.09375,-265.811983258465,6.406250476837158,-59.937503814697266,0.00038000000000004697,1.6669715062719013,581058351_52
Glutamatergic,Glutamatergic,positive,spiny,L5,-47.625,41.125003814697266,-63.9375,380.5983204164585,-3.093750238418579,-120.66586760977451,8.65625,-47.375,0.0006599999999998829,3.154150614051759,588729065_60
Glutamatergic,Glutamatergic,negative,spiny,L5,-55.093753814697266,42.968753814697266,-77.59375,506.9462151508213,-2.78125,-182.72891916640165,6.0625,-56.218753814697266,0.0005299999999999194,2.774307523206942,488679042_79
Glutamatergic,Glutamatergic,positive,spiny,L5,-44.781253814697266,47.718753814697266,-69.59375,523.3759420783366,-1.5,-114.09770496280686,28.218751907348633,-51.781253814697266,0.0007200000000000539,4.587085623229186,599177740_58
Glutamatergic,Glutamatergic,negative,spiny,L4,-49.500003814697266,47.656253814697266,-72.4375,543.2421580053068,3.687500238418579,-198.68127698944988,3.812500238418579,-53.218753814697266,0.000500000000000167,2.7342393115087202,480169202_57
Pvalb+,GABAergic,positive,aspiny,L5,-47.750003814697266,15.437500953674316,-72.65625,421.6405676230991,-11.156250953674316,-325.56953039101853,-11.656250953674316,-63.53125,0.0002750000000000252,1.2950860822777133,484744672_66
Glutamatergic,Glutamatergic,positive,spiny,L4,-49.21875,37.062503814697266,-81.0,438.73807179287013,-7.343750476837158,-124.47810216852172,-9.281250953674316,-54.593753814697266,0.000700000000000145,3.5246205087453455,502267531_45
Htr3a+|Vip-,GABAergic,positive,aspiny,L4,-43.687503814697266,30.1875,-64.84375,376.91785779174427,-1.40625,-247.1050804952046,-5.84375,-61.187503814697266,0.0004150000000000542,1.5253343113641844,473951795_42
Sst+,GABAergic,positive,aspiny,L5,-44.781253814697266,39.750003814697266,-65.53125,429.02596102207536,3.687500238418579,-201.46490450899722,17.812501907348633,-62.0625,0.0004999999999999449,2.129531999966354,530737765_35
