transgenic_line,neurotransmitter,reporter_status,dendrite_type,layer,threshold_v,threshold_i,peak_v,peak_i,trough_v,trough_i,upstroke,upstroke_v,downstroke,downstroke_v,fast_trough_v,fast_trough_i,width,upstroke_downstroke_ratio,f_i_curve_slope,fast_trough_v_long_square,fast_trough_v_ramp,fast_trough_v_short_square,input_resistance_mohm,latency,peak_v_long_square,peak_v_ramp,peak_v_short_square,ri,sag,seal_gohm,tau,threshold_i_long_square,threshold_i_ramp,threshold_i_short_square,threshold_v_long_square,threshold_v_ramp,threshold_v_short_square,trough_v_long_square,trough_v_ramp,trough_v_short_square,upstroke_downstroke_ratio_long_square,upstroke_downstroke_ratio_ramp,upstroke_downstroke_ratio_short_square,vm_for_sag,vrest,file_name
Glutamatergic,Glutamatergic,positive,spiny,L4,-32.216346740722656,886.7275390625,14.79407024383545,879.0704956054688,-50.674678802490234,553.1185913085938,104.77235382185513,-6.132211685180664,-31.18359512914486,4.304487228393555,-43.07932662963867,786.4102783203125,0.0018310256410255094,3.2868052854617056,-0.0033805230096814,-46.0,-45.6145858764648,-52.0234403610229,153.632064,0.0618400000000001,24.0,24.2916679382324,32.4062509536743,154.107108712196,0.075937531888485,2.51784448,19.1436016614458,110.0,123.333330790202,460.0,-31.9375019073486,-30.6041679382324,-49.1171894073486,-56.15625,-52.5833346048991,-78.8984375,3.13929932545215,2.89832973256929,3.89394743488316,-94.625,-78.5531539916992,479091820_88
Pvalb+,GABAergic,positive,aspiny,L5,-47.21494674682617,633.0623168945312,-2.6277406215667725,633.8072509765625,-62.85127639770508,633.3753051757812,302.72237899315076,-22.214946746826172,-239.37871269727762,-20.72930335998535,-62.746482849121094,634.5621948242188,0.00028903141361261863,1.263444241208605,1.64510904338246,-66.0625,-59.6666704813639,-65.8125019073486,132.16292,0.002955,-0.281250029802322,3.42708337306976,5.22656279802322,85.1562470197678,0.0184759330004454,1.163257216,5.29061521955921,400.0,348.708323160807,367.499977111816,-50.0,-35.0625019073486,-51.0937509536743,-66.09375,-59.7604179382324,-72.4609413146973,1.30883421463085,1.07256611111902,1.31154245460862,-91.7187576293945,-72.20556640625,475549334_78
Glutamatergic,Glutamatergic,negative,spiny,L6b,-38.409420013427734,286.4529113769531,29.573822021484375,284.59783935546875,-52.91893005371094,223.21739196777344,191.67648580997437,-5.5597825050354,-84.87952344357589,9.871829986572266,-45.70380401611328,272.9891357421875,0.0009327536231885953,2.2441716851181215,0.151066355936711,-49.4062538146973,-48.4791704813639,-57.3906288146973,238.458944,0.0335000000000001,32.0,36.7708333333333,35.3281269073486,239.843934774399,0.124604105949402,1.590106112,14.290159286403,170.0,175.374994913737,370.0,-36.21875,-35.8020833333333,-51.4843788146973,-50.96875,-51.5625012715658,-78.9062538146973,2.32016203447269,2.31660350193876,2.93691452000083,-95.5000076293945,-83.0187683105469,501799874_52
Glutamatergic,Glutamatergic,positive,spiny,L4,-36.883522033691406,244.69886779785156,28.877840042114258,243.86932373046875,-56.289772033691406,166.46022033691406,253.21086348371702,-3.561079502105713,-70.56498106326579,12.484375,-46.640625,238.47158813476562,0.000982272727272279,3.590718755876719,0.0900985750221714,-45.71875,-47.0416704813639,-51.7312530517578,120.899968,0.08562,32.0625,36.0937512715658,37.6062507629395,121.093638241291,0.0830635204911232,3.057344512,25.768141359326,110.0,97.3333333333333,1130.0,-36.28125,-37.4687525431315,-49.6562530517578,-57.1250038146973,-56.1770858764648,-74.3687530517578,3.46081206661127,3.41300939826303,4.05904545190596,-86.8125,-73.8577346801758,490283519_63
Glutamatergic,Glutamatergic,positive,spiny,L5,-37.423828125,173.2578125,25.2578125,172.203125,-54.828125,117.7578125,258.7846722823219,-12.55859375,-79.5147092128048,5.259765625,-48.623046875,159.59375,0.0008937500000001375,3.2562619099736105,0.154761904761905,-49.7187538146973,-49.3750019073486,-52.5125022888184,115.44172,0.04745,33.5625,38.0312519073486,37.0375015258789,215.624928474426,0.0188374985009432,1.93555008,31.553622349184,90.0,68.0625019073486,280.0,-36.5,-36.390625,-47.15625,-54.40625,-55.3750038146973,-72.9125,3.38751999898176,3.34664719298334,3.53883044978042,-94.25,-71.1050338745117,314804042_42
Sst+,GABAergic,positive,aspiny,L6b,-45.25833511352539,1054.4996337890625,13.514007568359375,1056.8369140625,-61.75434494018555,1056.441162109375,251.24658473292513,-8.282535552978516,-207.20562507096852,-11.055052757263184,-61.63821029663086,1057.634033203125,0.00047662411347516403,1.2069880010607816,0.0154462242562928,-67.125,-62.328125,-67.2901840209961,107.630696,0.0052400000000001,24.4687519073486,14.7187509536743,27.8839299338205,62.0312504470348,0.0161240268498659,1.412432,5.5153108868308,630.0,506.6875,830.0,-51.3437538146973,-37.0312519073486,-53.5758950369699,-67.28125,-62.4531269073486,-81.5357142857143,1.30592459441948,1.15668167828559,1.30104454298309,-88.1250076293945,-81.2040100097656,555241040_93
Htr3a+|Vip-,GABAergic,positive,aspiny,L5,-40.115692138671875,152.57180786132812,26.511302947998047,151.69415283203125,-55.01994705200195,120.6622314453125,259.0626713401497,-6.978058338165283,-62.01617606048516,-5.737367153167725,-50.59840393066406,142.94680786132812,0.0010761702127656566,4.197464761178008,0.252455357142857,-52.4687538146973,-51.1875012715658,-53.0187515258789,135.500384,0.0740400000000001,30.0,32.0000012715658,30.2812507629395,105.937540531158,0.0151994125917554,1.876530176,9.10007439506716,90.0,101.583330790202,570.0,-40.53125,-44.1562538146973,-43.5750007629395,-55.3125038146973,-55.3750025431315,-67.05,4.59942440051951,4.57772590998654,2.88830042924476,-79.5937576293945,-67.1176071166992,561533860_48
Glutamatergic,Glutamatergic,negative,spiny,L6b,-38.22343826293945,154.91561889648438,37.767189025878906,155.0593719482422,-53.11249923706055,112.90937805175781,280.2983374839658,3.4398436546325684,-79.66548350009285,17.446094512939453,-43.90703201293945,144.8093719482422,0.0009346249999997891,3.5344419413125636,0.217753636054294,-43.7500038146973,-41.7187525431315,-47.5468788146973,179.450096,0.0344550000000001,40.5,42.3333346048991,38.8854173024495,96.0935577750206,0.0227881371974945,1.502336128,17.076570896476,90.0,84.5,780.0,-38.6562538146973,-37.5416692097982,-45.0781281789144,-52.3437538146973,-51.7708358764648,-77.4479192097982,3.56740927963753,3.71480842169693,3.55574172683674,-95.5625,-77.6519393920898,488688374_49
Pvalb+,GABAergic,positive,aspiny,L2/L3,-42.015045166015625,157.02662658691406,17.022762298583984,157.18209838867188,-58.068092346191406,155.28433227539062,257.51445463983254,-8.105613708496094,-177.65338599655828,-5.465277671813965,-57.856964111328125,156.4398193359375,0.0005142592592591441,1.4474339241711984,1.15778875379939,-59.0625038146973,-54.5312538146973,-59.7500019073486,309.51232,0.0137200000000002,20.78125,16.90625,31.8281264305115,186.250001192093,0.0178365595638752,1.50472704,8.27182352607179,90.0,105.249992370605,380.0,-38.375,-35.96875,-45.9296903610229,-59.1562538146973,-54.6562538146973,-77.4453163146973,1.47224602902524,1.41987386924416,1.59053457929171,-96.78125,-76.9175567626953,581058351_52
Glutamatergic,Glutamatergic,positive,spiny,L5,-38.93449401855469,128.67308044433594,37.66886901855469,128.20672607421875,-47.400840759277344,106.16345977783203,284.15266255937877,1.7349759340286255,-106.30503371618019,10.574519157409668,-39.96814727783203,123.19470977783203,0.000755000000000044,2.6710667066301523,0.206823270964332,-41.0312538146973,-44.6770858764648,-47.5364589691162,133.406336,0.06088,44.65625,43.0000025431315,41.0364596048991,94.6874991059303,0.197812974452972,1.325639808,16.8245969487518,80.0,88.5833333333333,670.0,-39.0312538146973,-42.1041679382324,-46.6354185740153,-50.25,-50.1562512715658,-64.1354192097982,3.0485185353905,3.03528843847007,2.95867744858453,-73.9375076293945,-62.9423522949219,588729065_60
