dendrite_type,layer,stimulus_to_peak_t,threshold_v,peak_v,trough_v,upstroke,upstroke_v,downstroke,downstroke_v,fast_trough_v,width,upstroke_downstroke_ratio,file_name
spiny,L4,0.00318,-44.781253814697266,41.3125,-70.09375,374.1383594680804,5.250000476837158,-135.35103806130223,24.781251907348633,-47.500003814697266,0.000600000000000156,2.7642075363960514,569867780_16
spiny,L6,0.00342,-46.4375,37.437503814697266,-73.65625,267.82321194447655,-4.25,-103.89871262183044,19.437501907348633,-46.843753814697266,0.0007800000000000029,2.577733690688709,545171030_23
spiny,L3,0.00342,-50.34375,41.656253814697266,-76.90625762939453,306.7970467244588,2.625000238418579,-120.01462746849776,-13.875000953674316,-52.906253814697266,0.0008399999999999519,2.5563304506776805,576090160_17
spiny,L3,0.0033,-45.906253814697266,43.750003814697266,-61.125003814697266,327.0468153179584,2.156250238418579,-90.27096198453424,20.468751907348633,-53.781253814697266,0.0009599999999998499,3.6229459410656335,528638602_14
spiny,L3,0.00352,-50.937503814697266,40.53125,-67.96875762939453,337.2920792782953,7.625000476837158,-75.0788419210811,17.15625,-51.9375,0.0009799999999999809,4.492505087289956,545206633_17
spiny,L5,0.00346,-49.968753814697266,43.500003814697266,-67.28125,325.15975720952133,5.000000476837158,-89.89026415075122,-14.0,-58.281253814697266,0.0009799999999999809,3.6172967148501134,569869510_14
aspiny,L3,0.0034,-44.09375,30.843751907348633,-66.90625,460.8238562146006,-1.09375,-372.2726274638576,0.375,-60.906253814697266,0.000320000000000098,1.2378666123104636,576084692_10
spiny,L4,0.00368,-45.0,42.90625,-64.3125,349.9151891514345,4.812500476837158,-120.15194774266013,22.65625,-57.000003814697266,0.0007399999999999629,2.912272299579182,611764247_12
spiny,L3,0.0032,-45.812503814697266,43.625,-71.56250762939453,361.52874008523213,0.75,-142.41979803638122,-9.125000953674316,-50.65625,0.0006800000000000139,2.5384724951855318,576132827_19
spiny,L3,0.00348,-52.09375,46.34375,-76.4375,348.4696637173357,10.781250953674316,-102.99849945168339,24.40625,-52.656253814697266,0.0008600000000000829,3.3832499072552302,526785799_24
spiny,L3,0.00358,-46.375003814697266,45.281253814697266,-71.40625,328.9960123714052,10.84375,-79.90245031933213,29.218751907348633,-50.281253814697266,0.0009799999999999809,4.117470879260454,542086000_25
spiny,L2,0.0035,-39.40625,35.687503814697266,-76.0625,238.59845932730383,-3.437500238418579,-86.34586349381215,-14.781250953674316,-58.906253814697266,0.0011600000000000499,2.7632876628120426,571500474_18
spiny,L6,0.00334,-47.500003814697266,44.531253814697266,-70.03125762939453,394.16321896048817,4.1875,-119.67972138878412,-15.78125,-54.0,0.0007200000000000539,3.2934837613803762,548494556_16
spiny,L2,0.00358,-48.468753814697266,48.5625,-77.93750762939453,307.05211861525856,11.750000953674316,-98.94477498504398,26.687501907348633,-56.906253814697266,0.0009200000000000319,3.103267642598319,614659629_25
aspiny,L3,0.0192,-41.9375,38.28125,-63.687503814697266,298.1422004594273,-2.281250238418579,-99.56558640036695,22.53125,-53.156253814697266,0.0008200000000000429,2.994430216687083,637038252_8
spiny,L5,0.00344,-49.593753814697266,37.0,-73.75000762939453,286.64772174069685,9.062500953674316,-125.73899426252679,21.562501907348633,-54.843753814697266,0.0006800000000000139,2.279704266937378,548459652_27
spiny,L3,0.00342,-48.34375,48.90625,-74.65625762939453,430.88589922081144,1.5,-106.8594287583872,19.625,-54.500003814697266,0.0008200000000000429,4.032268413066844,517693603_18
aspiny,L3,0.00288,-44.375003814697266,26.875,-70.5,442.8771958381216,-11.6875,-257.34248062469334,0.3125000298023224,-66.03125762939453,0.00038000000000004697,1.7209641982273847,542142697_12
spiny,L5,0.00358,-36.9375,35.34375,-67.25000762939453,233.22412395545942,1.3750001192092896,-72.5202919656045,-10.09375,-47.343753814697266,0.0010399999999999299,3.215984349126377,567763632_39
